Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 89,428.827389,140,1439.503104,272,473.273533,86,2341.604026,486,20,24.3,45.898,25.889,14.424,64.16938965,8101.27,0.097,1.532,1.832,2.068,1.611,2.725,2.27,40.705,9.753,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 90,428.792854,148,1365.265955,231,531.465044,89,2325.523853,463,20,23.15,44.496,25.19,14.607,63.62958381,8075.692,0.058,1.589,1.996,2.285,1.636,2.701,2.312,41.281,5.54,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 91,463.6605,148,1466.024515,219,533.268352,90,2462.953367,453,19,23.842,46.757,26.004,13.716,65.27957366,8668.653,0.007,1.468,2.189,2.344,1.75,2.961,2.291,44.41,4.566,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 92,493.221545,172,1588.253117,248,601.443216,103,2682.917878,513,21,24.429,43.029,29.762,18.216,76.6611745,10924.815,0.106,1.292,1.86,2.701,1.709,3.006,2.413,40.069,9.128,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 93,332.039557,139,1107.103256,191,429.413979,95,1868.556792,421,19,22.158,36.811,25.225,12.985,62.3066628,6024.371,0.046,1.338,1.928,1.932,1.411,2.828,2.13,36.32,4.391,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 94,436.745216,155,1595.123955,244,535.063405,86,2566.932576,481,19,25.316,47.716,27.548,14.655,68.04797267,9191.512,0.089,1.477,2.041,2.732,1.6,3,1.971,46.838,3.255,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 95,312.702279,140,950.958164,199,321.943409,81,1585.603852,417,20,20.85,37.112,20.881,12.315,52.90158586,4538.378,0.092,1.199,1.985,2.297,1.708,2.258,1.696,34.139,4.557,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 96,463.745119,139,1540.334913,250,597.438127,91,2601.518159,471,18,26.167,46.329,28.062,15.122,69.64221873,9546.622,0.073,1.609,1.818,2.165,1.731,3.28,2.809,44.057,5.406,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 97,424.361955,128,1389.602531,237,529.79344,86,2343.757926,449,20,22.45,48.059,23.743,13.721,60.10238353,7857.793,0.041,1.644,2.212,2.776,1.703,2.583,2.132,43.419,5.86,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 98,363.168854,143,1339.349122,232,522.876768,93,2225.394744,460,19,24.211,43.61,25.539,15.087,64.53273329,7758.456,0.118,1.395,1.879,2.671,1.391,2.92,2.306,41.028,4.784,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 99,323.817732,140,1130.187142,198,435.060347,94,1889.065221,419,19,22.053,34.139,27.033,14.807,67.34573272,6501.209,0.091,1.195,1.765,2.194,1.58,3.089,2.726,33.095,6.193,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 1,548.08422,183,1384.551211,292,578.977813,135,2511.613244,608,19,32,46.302,25.56,13.251,63.32576569,8262.411,-0.006,1.546,1.607,1.632,2.167,2.729,2.353,46.863,3.599,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 11,384.511599,161,1348.765883,249,495.09212,95,2228.369602,486,19,25.579,43.973,25.869,14.167,63.36195162,7446.648,0.118,1.278,1.801,2.019,1.461,2.896,2.278,40.523,5.329,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 12,362.447236,144,1133.184636,227,475.450154,94,1971.082026,456,19,24,37.622,24.605,14.676,62.65240825,6730.406,0.054,1.514,1.706,1.916,1.917,2.859,2.35,36.768,3.877,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 14,381.152901,137,977.262127,162,376.870797,75,1735.285825,367,19,19.316,31.38,26.226,12.1,63.30433746,5314.359,-0.019,1.373,2.039,2.331,1.879,2.886,1.813,33.049,3.731,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 15,395.398708,147,1134.526478,175,442.503728,90,1972.428914,407,19,21.421,34.214,28.141,12.723,68.0408524,6573.342,-0.025,1.257,1.993,2.158,2.036,3.108,2.177,35.476,4.168,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 16,368.42631,162,1081.211449,198,436.578649,80,1886.216408,436,20,21.8,34.801,24.511,15.372,63.06155942,6571.424,0.043,1.372,1.881,2.173,1.59,2.801,2.26,35.437,3.84,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 17,327.892669,130,1192.835469,226,436.86428,83,1957.592418,432,20,21.6,43.008,23.013,13.085,57.81582951,6121.579,0.097,1.45,1.934,2.294,1.343,2.497,2.163,37.305,8.926,0,0,0,0
